时间,开�?收盘,最�?最�?成交�?成交�?均价,,,,,
2025/2/10 9:30,0,6.46,6.46,6.46,23177,14972342,6.46
2025/2/10 9:31,0,6.462,6.465,6.461,77211,49897674,6.4619
2025/2/10 9:32,0,6.462,6.462,6.46,40806,26366189,6.4618
2025/2/10 9:33,0,6.463,6.464,6.462,32964,21301507,6.4618
2025/2/10 9:34,0,6.462,6.462,6.46,23632,15268716,6.4617
2025/2/10 9:35,0,6.463,6.463,6.461,19612,12672586,6.4617
2025/2/10 9:36,0,6.464,6.464,6.463,23495,15185962,6.4619
2025/2/10 9:37,0,6.465,6.466,6.464,32735,21163012,6.4623
2025/2/10 9:38,0,6.463,6.466,6.463,27751,17938101,6.4624
2025/2/10 9:39,0,6.465,6.465,6.463,21993,14216479,6.4625
2025/2/10 9:40,0,6.466,6.467,6.464,23477,15179604,6.4627
2025/2/10 9:41,0,6.466,6.466,6.465,30852,19946709,6.463
2025/2/10 9:42,0,6.466,6.467,6.465,19349,12510518,6.4631
2025/2/10 9:43,0,6.463,6.465,6.463,26645,17224731,6.4632
2025/2/10 9:44,0,6.464,6.464,6.463,11208,7243980,6.4632
2025/2/10 9:45,0,6.464,6.465,6.463,12807,8277897,6.4632
2025/2/10 9:46,0,6.464,6.464,6.462,13484,8715272,6.4632
2025/2/10 9:47,0,6.465,6.465,6.463,10086,6519955,6.4632
2025/2/10 9:48,0,6.464,6.465,6.464,14291,9237513,6.4632
2025/2/10 9:49,0,6.465,6.465,6.464,10357,6695214,6.4633
2025/2/10 9:50,0,6.465,6.465,6.464,12772,8257084,6.4633
2025/2/10 9:51,0,6.468,6.468,6.464,24989,16158102,6.4634
2025/2/10 9:52,0,6.468,6.468,6.467,33070,21388916,6.4637
2025/2/10 9:53,0,6.469,6.469,6.468,10631,6876487,6.4638
2025/2/10 9:54,0,6.471,6.472,6.469,22442,14520017,6.464
2025/2/10 9:55,0,6.469,6.471,6.469,20214,13078252,6.4642
2025/2/10 9:56,0,6.469,6.47,6.468,7749,5013100,6.4643
2025/2/10 9:57,0,6.47,6.47,6.468,20105,13007153,6.4644
2025/2/10 9:58,0,6.47,6.47,6.469,9933,6426556,6.4645
2025/2/10 9:59,0,6.473,6.474,6.47,17659,11428297,6.4647
2025/2/10 10:00,0,6.474,6.474,6.473,15732,10183581,6.4649
2025/2/10 10:01,0,6.475,6.475,6.473,9308,6026299,6.465
2025/2/10 10:02,0,6.477,6.477,6.474,20142,13043455,6.4653
2025/2/10 10:03,0,6.479,6.479,6.478,21887,14178600,6.4657
2025/2/10 10:04,0,6.476,6.479,6.476,13023,8435672,6.4659
2025/2/10 10:05,0,6.472,6.476,6.472,14400,9321971,6.466
2025/2/10 10:06,0,6.475,6.476,6.473,14425,9339022,6.4662
2025/2/10 10:07,0,6.474,6.476,6.474,13616,8815820,6.4663
2025/2/10 10:08,0,6.472,6.473,6.472,9478,6134758,6.4664
2025/2/10 10:09,0,6.474,6.474,6.472,9270,6000375,6.4665
2025/2/10 10:10,0,6.475,6.476,6.474,10978,7107616,6.4666
2025/2/10 10:11,0,6.472,6.475,6.472,11105,7188662,6.4667
2025/2/10 10:12,0,6.473,6.474,6.472,14184,9181463,6.4668
2025/2/10 10:13,0,6.474,6.474,6.473,4379,2834760,6.4668
2025/2/10 10:14,0,6.474,6.475,6.473,3208,2076869,6.4668
2025/2/10 10:15,0,6.474,6.475,6.474,4503,2915265,6.4669
2025/2/10 10:16,0,6.475,6.475,6.474,5490,3554732,6.4669
2025/2/10 10:17,0,6.477,6.478,6.476,16928,10963519,6.4671
2025/2/10 10:18,0,6.478,6.478,6.477,5148,3334643,6.4672
2025/2/10 10:19,0,6.479,6.479,6.478,9258,5997674,6.4673
2025/2/10 10:20,0,6.479,6.479,6.478,6184,4006436,6.4674
2025/2/10 10:21,0,6.479,6.48,6.479,5736,3716293,6.4674
2025/2/10 10:22,0,6.479,6.479,6.478,5588,3620410,6.4675
2025/2/10 10:23,0,6.478,6.479,6.478,2907,1883417,6.4675
2025/2/10 10:24,0,6.48,6.48,6.479,5286,3424937,6.4676
2025/2/10 10:25,0,6.48,6.481,6.479,10506,6807988,6.4678
2025/2/10 10:26,0,6.48,6.481,6.48,8593,5568409,6.4679
2025/2/10 10:27,0,6.481,6.481,6.48,8714,5646680,6.468
2025/2/10 10:28,0,6.481,6.481,6.48,6496,4209445,6.4681
2025/2/10 10:29,0,6.482,6.482,6.481,9523,6172261,6.4682
2025/2/10 10:30,0,6.481,6.482,6.481,13980,9060985,6.4684
2025/2/10 10:31,0,6.479,6.481,6.478,22910,14843968,6.4686
2025/2/10 10:32,0,6.478,6.479,6.478,7915,5127278,6.4687
2025/2/10 10:33,0,6.476,6.479,6.476,11244,7282677,6.4688
2025/2/10 10:34,0,6.475,6.477,6.475,6935,4490865,6.4688
2025/2/10 10:35,0,6.475,6.476,6.475,12850,8320563,6.4689
2025/2/10 10:36,0,6.477,6.478,6.475,8098,5244641,6.469
2025/2/10 10:37,0,6.479,6.479,6.476,6522,4224592,6.469
2025/2/10 10:38,0,6.478,6.479,6.478,6338,4106161,6.4691
2025/2/10 10:39,0,6.479,6.479,6.478,10554,6837187,6.4692
2025/2/10 10:40,0,6.477,6.479,6.476,10962,7100119,6.4692
2025/2/10 10:41,0,6.477,6.478,6.477,10606,6869416,6.4693
2025/2/10 10:42,0,6.48,6.48,6.478,13016,8432785,6.4694
2025/2/10 10:43,0,6.481,6.481,6.479,11026,7144330,6.4695
2025/2/10 10:44,0,6.481,6.481,6.479,4455,2886915,6.4696
2025/2/10 10:45,0,6.481,6.482,6.48,16256,10535192,6.4697
2025/2/10 10:46,0,6.481,6.482,6.481,4439,2876840,6.4698
2025/2/10 10:47,0,6.48,6.481,6.48,3172,2055627,6.4698
2025/2/10 10:48,0,6.479,6.481,6.478,20180,13074861,6.47
2025/2/10 10:49,0,6.481,6.481,6.479,11012,7135917,6.4701
2025/2/10 10:50,0,6.48,6.482,6.479,5495,3560911,6.4701
2025/2/10 10:51,0,6.48,6.481,6.479,4334,2808507,6.4701
2025/2/10 10:52,0,6.479,6.481,6.478,13324,8633306,6.4702
2025/2/10 10:53,0,6.481,6.481,6.479,6172,3999324,6.4703
2025/2/10 10:54,0,6.48,6.481,6.479,7556,4896403,6.4704
2025/2/10 10:55,0,6.48,6.48,6.479,3555,2303622,6.4704
2025/2/10 10:56,0,6.479,6.481,6.479,3724,2413236,6.4704
2025/2/10 10:57,0,6.48,6.48,6.479,4901,3175841,6.4705
2025/2/10 10:58,0,6.48,6.48,6.479,3340,2164290,6.4705
2025/2/10 10:59,0,6.48,6.481,6.479,5370,3479752,6.4705
2025/2/10 11:00,0,6.479,6.48,6.479,3359,2176607,6.4705
2025/2/10 11:01,0,6.479,6.48,6.478,11617,7526576,6.4706
2025/2/10 11:02,0,6.479,6.48,6.479,6113,3960589,6.4707
2025/2/10 11:03,0,6.478,6.479,6.477,5896,3819402,6.4707
2025/2/10 11:04,0,6.478,6.479,6.478,3611,2339317,6.4707
2025/2/10 11:05,0,6.478,6.479,6.477,4575,2963624,6.4707
2025/2/10 11:06,0,6.478,6.479,6.477,6913,4478224,6.4708
2025/2/10 11:07,0,6.474,6.478,6.474,14447,9355374,6.4708
2025/2/10 11:08,0,6.474,6.474,6.473,6961,4506078,6.4709
2025/2/10 11:09,0,6.471,6.473,6.471,18449,11940049,6.4709
2025/2/10 11:10,0,6.473,6.474,6.471,19562,12660640,6.4709
2025/2/10 11:11,0,6.473,6.474,6.471,11852,7670679,6.4709
2025/2/10 11:12,0,6.472,6.473,6.471,14029,9078847,6.4709
2025/2/10 11:13,0,6.472,6.473,6.471,9431,6103259,6.4709
2025/2/10 11:14,0,6.474,6.474,6.471,7279,4711565,6.4709
2025/2/10 11:15,0,6.474,6.474,6.473,5768,3734026,6.4709
2025/2/10 11:16,0,6.474,6.474,6.473,6655,4308277,6.4709
2025/2/10 11:17,0,6.473,6.474,6.473,5995,3880678,6.4709
2025/2/10 11:18,0,6.472,6.473,6.472,4545,2941972,6.471
2025/2/10 11:19,0,6.473,6.473,6.472,25270,16355173,6.471
2025/2/10 11:20,0,6.471,6.473,6.47,22976,14868298,6.471
2025/2/10 11:21,0,6.473,6.473,6.471,6649,4303190,6.471
2025/2/10 11:22,0,6.473,6.473,6.472,1804,1167693,6.471
2025/2/10 11:23,0,6.474,6.475,6.472,16130,10442286,6.471
2025/2/10 11:24,0,6.474,6.475,6.474,20498,13270402,6.4711
2025/2/10 11:25,0,6.473,6.474,6.472,4390,2841623,6.4711
2025/2/10 11:26,0,6.471,6.473,6.471,5764,3730518,6.4711
2025/2/10 11:27,0,6.471,6.472,6.471,14485,9373532,6.4711
2025/2/10 11:28,0,6.474,6.474,6.472,6163,3989054,6.4711
2025/2/10 11:29,0,6.474,6.474,6.473,1820,1178205,6.4711
2025/2/10 11:30,0,6.474,6.474,6.472,3296,2133474,6.4711
2025/2/10 13:01,0,6.481,6.482,6.478,38779,25125562,6.4713
2025/2/10 13:02,0,6.482,6.482,6.481,8019,5197814,6.4713
2025/2/10 13:03,0,6.482,6.482,6.481,9671,6268201,6.4714
