day,open,high,low,close,volume
2025/1/27 13:53,1436.45,1436.5,1436.44,1436.44,13000
2025/1/27 13:54,1436.42,1436.44,1436.39,1436.4,7200
2025/1/27 13:55,1436.44,1436.5,1436,1436.44,7732
2025/1/27 13:56,1436.44,1436.44,1436.11,1436.42,5800
2025/1/27 13:57,1436.42,1436.44,1436.41,1436.44,4800
2025/1/27 13:58,1436.44,1436.86,1436.44,1436.79,9900
2025/1/27 13:59,1436.79,1436.8,1436.44,1436.44,6800
2025/1/27 14:00,1436.46,1436.54,1436.44,1436.54,6500
2025/1/27 14:01,1436.47,1436.89,1436.47,1436.72,6600
2025/1/27 14:02,1436.78,1436.89,1436.66,1436.67,8000
2025/1/27 14:03,1436.65,1436.65,1436.46,1436.5,12200
2025/1/27 14:04,1436.5,1437.58,1436.5,1437.01,19200
2025/1/27 14:05,1437.6,1438.05,1436.74,1438.05,22200
2025/1/27 14:06,1438.05,1438.08,1436.51,1437.99,16700
2025/1/27 14:07,1437.99,1438.2,1437.99,1438.13,12000
2025/1/27 14:08,1438.13,1438.14,1437.97,1438.07,19700
2025/1/27 14:09,1438.07,1438.11,1437.98,1438.11,7800
2025/1/27 14:10,1438.1,1438.28,1438.1,1438.21,8100
2025/1/27 14:11,1438.16,1438.21,1438.15,1438.15,14700
2025/1/27 14:12,1438.16,1438.16,1437.12,1437.34,9400
2025/1/27 14:13,1437.29,1437.29,1437.2,1437.2,4100
2025/1/27 14:14,1437.21,1437.21,1436.71,1436.79,6600
2025/1/27 14:15,1436.79,1437.03,1436.7,1437.01,12500
2025/1/27 14:16,1437.02,1437.19,1436.72,1437.19,10500
2025/1/27 14:17,1437.19,1438.05,1437.19,1438.03,8800
2025/1/27 14:18,1438.05,1438.77,1438.05,1438.5,18500
2025/1/27 14:19,1438.66,1439.96,1438.66,1439.81,15000
2025/1/27 14:20,1439.84,1439.84,1438.3,1438.3,10300
2025/1/27 14:21,1438.97,1438.97,1438.01,1438.01,8100
2025/1/27 14:22,1438.02,1438.02,1437.21,1437.3,9000
2025/1/27 14:23,1437.29,1437.5,1437.23,1437.5,4800
2025/1/27 14:24,1437.5,1437.5,1437.4,1437.45,7000
2025/1/27 14:25,1437.41,1437.44,1437.32,1437.32,6700
2025/1/27 14:26,1437.33,1437.34,1437.17,1437.17,7900
2025/1/27 14:27,1437.17,1437.5,1437,1437.49,7300
2025/1/27 14:28,1437.49,1437.5,1437.32,1437.4,8200
2025/1/27 14:29,1437.49,1437.99,1437.4,1437.89,5300
2025/1/27 14:30,1437.98,1438.98,1437.98,1438.8,19800
2025/1/27 14:31,1438.81,1438.93,1438.13,1438.8,11000
2025/1/27 14:32,1438.8,1439.27,1438.05,1438.31,13000
2025/1/27 14:33,1438.36,1438.73,1438.06,1438.06,10100
2025/1/27 14:34,1438.17,1438.29,1438.05,1438.25,11300
2025/1/27 14:35,1438.29,1438.77,1438.22,1438.55,10200
2025/1/27 14:36,1438.59,1438.8,1438.26,1438.29,11500
2025/1/27 14:37,1438.35,1438.8,1438.05,1438.35,19400
2025/1/27 14:38,1438.25,1438.95,1438.25,1438.42,13100
2025/1/27 14:39,1438.42,1438.42,1437.32,1437.45,17300
2025/1/27 14:40,1437.4,1438,1436.88,1438,13300
2025/1/27 14:41,1437.46,1438.02,1437.46,1437.71,11800
2025/1/27 14:42,1437.75,1438.02,1437.24,1437.47,11800
2025/1/27 14:43,1437.47,1438,1436.46,1438,19600
2025/1/27 14:44,1436.64,1439,1436.46,1436.66,38600
2025/1/27 14:45,1436.66,1439,1436.46,1437.42,45200
2025/1/27 14:46,1437.24,1438.51,1436.4,1438,20200
2025/1/27 14:47,1438,1438,1436.4,1436.64,11800
2025/1/27 14:48,1436.51,1437.98,1436.3,1436.45,11100
2025/1/27 14:49,1436.45,1437.98,1436.12,1437.45,17000
2025/1/27 14:50,1437.45,1437.5,1436.17,1436.5,9600
2025/1/27 14:51,1436.5,1437.46,1436.22,1437,12600
2025/1/27 14:52,1437,1437.45,1436.23,1436.26,14500
2025/1/27 14:53,1436.22,1436.5,1436,1436,27500
2025/1/27 14:54,1436.01,1436.1,1434.5,1434.5,21400
2025/1/27 14:55,1434.45,1435.58,1434.01,1434.11,17400
2025/1/27 14:56,1434.65,1436,1434.12,1434.9,16800
2025/1/27 14:57,1434.27,1436,1434.25,1434.99,14400
2025/1/27 15:00,1434.99,1434.99,1434.99,1434.99,60659
2025/2/5 9:31,1440,1443,1427.66,1428,203900
2025/2/5 9:32,1427.7,1428.01,1420,1420.02,145900
2025/2/5 9:33,1420.02,1421.7,1418.8,1421.13,90119
2025/2/5 9:34,1421.13,1422.15,1419.87,1420,44986
2025/2/5 9:35,1420,1421.1,1419.1,1420.09,49100
2025/2/5 9:36,1420.15,1421.11,1418.88,1419.04,59700
2025/2/5 9:37,1419.04,1419.04,1417.34,1418.79,57400
2025/2/5 9:38,1418.51,1420,1418.02,1419.66,23321
2025/2/5 9:39,1419.65,1420.08,1419.03,1419.03,43400
2025/2/5 9:40,1419.59,1422.26,1419.03,1421.17,29100
2025/2/5 9:41,1421.03,1421.97,1420.99,1421.56,23400
2025/2/5 9:42,1420.98,1422.2,1420,1420.44,39400
2025/2/5 9:43,1420.4,1421.2,1417.01,1417.51,57400
2025/2/5 9:44,1417.51,1417.66,1417.5,1417.62,29600
2025/2/5 9:45,1417.54,1418.99,1417.53,1418.64,16600
2025/2/5 9:46,1418.64,1418.95,1417.52,1418.46,23200
2025/2/5 9:47,1417.8,1418.44,1417.1,1417.35,31600
2025/2/5 9:48,1417.35,1417.35,1415,1415.01,69600
2025/2/5 9:49,1415,1416.39,1415,1416,21000
2025/2/5 9:50,1415.99,1416,1415.21,1415.96,24700
2025/2/5 9:51,1415.85,1415.99,1415.21,1415.22,24002
2025/2/5 9:52,1415.22,1415.3,1413.08,1413.4,56600
2025/2/5 9:53,1413.26,1414,1413.12,1413.57,18119
2025/2/5 9:54,1413.51,1413.51,1413.18,1413.43,22881
2025/2/5 9:55,1413.43,1413.43,1411.07,1411.22,46100
2025/2/5 9:56,1411.11,1411.39,1410,1410.41,42800
2025/2/5 9:57,1410.41,1410.41,1408.79,1409.03,45000
2025/2/5 9:58,1409.03,1409.03,1406.5,1406.6,47200
2025/2/5 9:59,1406.6,1407,1404.94,1404.95,37900
2025/2/5 10:00,1404.95,1405.5,1403,1405,43500
2025/2/5 10:01,1405.1,1405.76,1405,1405.76,37000
2025/2/5 10:02,1405.5,1405.93,1403.97,1403.97,43000
2025/2/5 10:03,1403.88,1403.88,1403,1403.63,34400
2025/2/5 10:04,1403.65,1403.7,1403.23,1403.3,29000
2025/2/5 10:05,1403.21,1403.62,1403,1403.28,26400
2025/2/5 10:06,1403.2,1403.28,1403.03,1403.03,22700
2025/2/5 10:07,1403.1,1403.3,1402.79,1402.92,43600
2025/2/5 10:08,1402.92,1402.92,1402.21,1402.22,29700
2025/2/5 10:09,1402.22,1403.62,1402.22,1403.49,37400
2025/2/5 10:10,1403.46,1403.52,1403.2,1403.52,34500
2025/2/5 10:11,1403.52,1405.01,1403.51,1405.01,23200
2025/2/5 10:12,1405.01,1407.08,1405,1407.08,28692
2025/2/5 10:13,1407.05,1408.88,1407,1408.21,27400
2025/2/5 10:14,1408.19,1408.84,1407.58,1407.58,40700
2025/2/5 10:15,1407.57,1408.44,1407,1408,25500
2025/2/5 10:16,1408.03,1410,1407.89,1408.5,20000
2025/2/5 10:17,1408.49,1408.59,1408,1408.57,11000
2025/2/5 10:18,1408.57,1409.62,1408,1408,23900
2025/2/5 10:19,1408,1408.13,1408,1408.01,14500
2025/2/5 10:20,1408.01,1409.59,1408,1408.76,17300
2025/2/5 10:21,1408.76,1408.79,1408.21,1408.3,11800
2025/2/5 10:22,1408.2,1408.66,1408.2,1408.65,11600
2025/2/5 10:23,1408.65,1408.66,1408.33,1408.57,10130
2025/2/5 10:24,1408.57,1408.58,1408.4,1408.41,11750
2025/2/5 10:25,1408.54,1409.6,1408.41,1408.79,12500
2025/2/5 10:26,1408.74,1409.62,1408.74,1409.61,8100
2025/2/5 10:27,1409.61,1411,1409.02,1410.87,13400
2025/2/5 10:28,1410.9,1413.24,1410.87,1412.69,8750
2025/2/5 10:29,1412.65,1412.7,1411.78,1412.49,9600
2025/2/5 10:30,1412.52,1414,1412,1414,20839
2025/2/5 10:31,1414,1415.9,1413.73,1414.04,17200
2025/2/5 10:32,1414.82,1414.83,1414,1414.73,7410
2025/2/5 10:33,1414.8,1414.8,1414.49,1414.53,8725
2025/2/5 10:34,1414.21,1414.7,1412.98,1413.63,10590
2025/2/5 10:35,1413.09,1413.09,1412.02,1412.02,6000
2025/2/5 10:36,1412.14,1413.8,1412.14,1412.52,6400
2025/2/5 10:37,1412.31,1413,1412,1413,6300
2025/2/5 10:38,1412.43,1413.58,1412.43,1413,5500
2025/2/5 10:39,1413.24,1413.79,1412.28,1412.99,22500
2025/2/5 10:40,1412.99,1413.71,1412,1412.98,17100
2025/2/5 10:41,1412.98,1413.71,1412.3,1413,7300
2025/2/5 10:42,1412.31,1412.31,1411.06,1411.06,7500
