时间,开盘,收盘,最高,最低,成交量,成交额,均价
2025-02-10 09:30:00,0.0,1438.0,1438.0,1438.0,327,47022600.0,1438.0
2025-02-10 09:31:00,0.0,1436.1,1438.36,1436.0,601,86374471.0,1437.468
2025-02-10 09:32:00,0.0,1436.0,1437.9,1436.0,306,43974472.0,1437.371
2025-02-10 09:33:00,0.0,1437.79,1437.79,1433.95,317,45570194.0,1437.129
2025-02-10 09:34:00,0.0,1437.02,1437.36,1435.05,237,34038823.0,1437.01
2025-02-10 09:35:00,0.0,1435.26,1437.0,1435.26,168,24127151.0,1436.936
2025-02-10 09:36:00,0.0,1436.5,1436.5,1435.24,178,25553426.0,1436.823
2025-02-10 09:37:00,0.0,1436.42,1436.96,1436.33,138,19824155.0,1436.805
2025-02-10 09:38:00,0.0,1435.06,1437.8,1435.05,298,42809633.0,1436.778
2025-02-10 09:39:00,0.0,1432.01,1435.07,1432.01,294,42167212.0,1436.519
2025-02-10 09:40:00,0.0,1431.01,1432.02,1430.02,273,39057096.0,1436.009
2025-02-10 09:41:00,0.0,1429.8,1431.01,1429.01,355,50761183.0,1435.388
2025-02-10 09:42:00,0.0,1429.35,1429.78,1429.05,158,22584940.0,1435.13
2025-02-10 09:43:00,0.0,1429.36,1429.74,1429.29,144,20584082.0,1434.914
2025-02-10 09:44:00,0.0,1427.5,1429.39,1427.5,317,45298047.0,1434.42
2025-02-10 09:45:00,0.0,1427.5,1428.0,1427.09,139,19839762.0,1434.188
2025-02-10 09:46:00,0.0,1429.23,1429.51,1427.2,206,29418851.0,1433.907
2025-02-10 09:47:00,0.0,1431.24,1431.24,1429.0,114,16301519.0,1433.808
2025-02-10 09:48:00,0.0,1430.5,1431.25,1429.3,84,12013103.0,1433.742
2025-02-10 09:49:00,0.0,1430.0,1431.2,1430.0,161,23035117.0,1433.642
2025-02-10 09:50:00,0.0,1429.19,1430.04,1429.19,88,12581830.0,1433.572
2025-02-10 09:51:00,0.0,1428.8,1429.0,1427.87,137,19566650.0,1433.427
2025-02-10 09:52:00,0.0,1428.84,1429.0,1428.26,71,10169240.0,1433.357
2025-02-10 09:53:00,0.0,1429.97,1429.98,1428.33,57,8147917.0,1433.315
2025-02-10 09:54:00,0.0,1429.09,1429.99,1429.0,95,13577561.0,1433.241
2025-02-10 09:55:00,0.0,1428.43,1429.12,1428.28,132,18859786.0,1433.131
2025-02-10 09:56:00,0.0,1429.26,1429.44,1428.25,173,24712139.0,1432.986
2025-02-10 09:57:00,0.0,1430.99,1431.0,1429.99,81,11587445.0,1432.951
2025-02-10 09:58:00,0.0,1431.68,1432.0,1430.99,164,23473567.0,1432.905
2025-02-10 09:59:00,0.0,1433.0,1433.0,1431.51,98,14037391.0,1432.896
2025-02-10 10:00:00,0.0,1433.0,1434.43,1433.0,128,18352200.0,1432.914
2025-02-10 10:01:00,0.0,1434.81,1435.9,1434.43,173,24829594.0,1432.979
