时间,开�?收盘,最�?最�?成交�?成交�?均价,,,,,
2025/2/10 9:30,0,2.035,2.035,2.035,23024,4685384,2.035
2025/2/10 9:31,0,2.03,2.034,2.03,82908,16851285,2.0331
2025/2/10 9:32,0,2.025,2.03,2.024,45872,9294696,2.031
2025/2/10 9:33,0,2.028,2.028,2.025,41317,8373957,2.0301
2025/2/10 9:34,0,2.029,2.029,2.028,35064,7112621,2.0298
2025/2/10 9:35,0,2.028,2.029,2.028,17849,3620208,2.0297
2025/2/10 9:36,0,2.027,2.028,2.027,21259,4310423,2.0296
2025/2/10 9:37,0,2.027,2.028,2.027,11680,2368121,2.0295
2025/2/10 9:38,0,2.028,2.028,2.027,33357,6761911,2.0292
2025/2/10 9:39,0,2.028,2.028,2.027,17690,3587153,2.0291
2025/2/10 9:40,0,2.03,2.03,2.028,17457,3542725,2.0292
2025/2/10 9:41,0,2.031,2.031,2.03,20076,4075781,2.0292
2025/2/10 9:42,0,2.032,2.032,2.03,15282,3104513,2.0293
2025/2/10 9:43,0,2.03,2.032,2.03,19109,3880768,2.0294
2025/2/10 9:44,0,2.03,2.031,2.029,14057,2853575,2.0294
2025/2/10 9:45,0,2.028,2.03,2.028,10231,2076274,2.0294
2025/2/10 9:46,0,2.03,2.03,2.028,5577,1131550,2.0294
2025/2/10 9:47,0,2.029,2.03,2.029,17747,3601277,2.0294
2025/2/10 9:48,0,2.03,2.03,2.029,3764,763794,2.0294
2025/2/10 9:49,0,2.03,2.03,2.029,11406,2315348,2.0294
2025/2/10 9:50,0,2.029,2.03,2.029,5394,1094687,2.0294
2025/2/10 9:51,0,2.03,2.03,2.029,4625,938734,2.0294
2025/2/10 9:52,0,2.03,2.03,2.029,1342,272337,2.0294
2025/2/10 9:53,0,2.029,2.03,2.029,2578,523147,2.0294
2025/2/10 9:54,0,2.028,2.03,2.028,12919,2621369,2.0294
2025/2/10 9:55,0,2.029,2.029,2.028,6050,1227073,2.0294
2025/2/10 9:56,0,2.028,2.029,2.028,4641,941246,2.0294
2025/2/10 9:57,0,2.028,2.029,2.028,7644,1550269,2.0293
2025/2/10 9:58,0,2.028,2.029,2.027,14314,2902845,2.0293
2025/2/10 9:59,0,2.027,2.028,2.027,8009,1623561,2.0293
2025/2/10 10:00,0,2.028,2.028,2.027,6200,1256857,2.0293
2025/2/10 10:01,0,2.028,2.028,2.027,4702,953271,2.0292
2025/2/10 10:02,0,2.027,2.028,2.027,7594,1539690,2.0292
2025/2/10 10:03,0,2.027,2.028,2.027,11988,2430130,2.0292
2025/2/10 10:04,0,2.027,2.028,2.027,8454,1713696,2.0291
2025/2/10 10:05,0,2.027,2.028,2.027,4587,929851,2.0291
2025/2/10 10:06,0,2.028,2.028,2.027,10161,2059722,2.0291
2025/2/10 10:07,0,2.027,2.028,2.027,10798,2188850,2.0291
2025/2/10 10:08,0,2.027,2.028,2.027,6285,1273978,2.029
2025/2/10 10:09,0,2.028,2.028,2.026,11650,2362156,2.029
2025/2/10 10:10,0,2.028,2.028,2.027,5156,1045359,2.029
2025/2/10 10:11,0,2.028,2.028,2.027,2510,508856,2.029
2025/2/10 10:12,0,2.027,2.028,2.027,5512,1117417,2.029
2025/2/10 10:13,0,2.027,2.028,2.027,3976,805971,2.029
2025/2/10 10:14,0,2.027,2.028,2.027,3460,701433,2.0289
2025/2/10 10:15,0,2.027,2.028,2.027,14223,2883055,2.0289
2025/2/10 10:16,0,2.028,2.028,2.027,1049,212659,2.0289
2025/2/10 10:17,0,2.027,2.028,2.027,3086,625567,2.0289
2025/2/10 10:18,0,2.027,2.027,2.026,5843,1183853,2.0289
2025/2/10 10:19,0,2.027,2.027,2.026,3977,805983,2.0289
2025/2/10 10:20,0,2.027,2.028,2.026,1150,233084,2.0289
2025/2/10 10:21,0,2.027,2.027,2.026,6971,1412940,2.0288
2025/2/10 10:22,0,2.028,2.028,2.026,7501,1520457,2.0288
2025/2/10 10:23,0,2.027,2.028,2.027,3035,615415,2.0288
2025/2/10 10:24,0,2.028,2.028,2.027,2993,606754,2.0288
2025/2/10 10:25,0,2.028,2.028,2.027,1769,358653,2.0288
2025/2/10 10:26,0,2.028,2.028,2.027,1985,402421,2.0288
2025/2/10 10:27,0,2.027,2.028,2.027,2850,577769,2.0288
2025/2/10 10:28,0,2.028,2.028,2.027,4525,917275,2.0288
2025/2/10 10:29,0,2.028,2.028,2.027,2300,466339,2.0288
2025/2/10 10:30,0,2.028,2.028,2.027,3834,777203,2.0288
2025/2/10 10:31,0,2.028,2.028,2.027,4129,836973,2.0288
2025/2/10 10:32,0,2.028,2.028,2.027,3972,805179,2.0287
2025/2/10 10:33,0,2.028,2.028,2.027,1538,311884,2.0287
2025/2/10 10:34,0,2.027,2.028,2.027,1093,221571,2.0287
2025/2/10 10:35,0,2.027,2.028,2.027,5893,1194546,2.0287
2025/2/10 10:36,0,2.027,2.028,2.027,2339,474186,2.0287
2025/2/10 10:37,0,2.027,2.028,2.027,4813,975814,2.0287
2025/2/10 10:38,0,2.028,2.028,2.027,1970,399324,2.0287
2025/2/10 10:39,0,2.028,2.028,2.027,1957,396844,2.0287
2025/2/10 10:40,0,2.028,2.028,2.027,4654,943560,2.0287
2025/2/10 10:41,0,2.028,2.028,2.027,3002,608688,2.0287
2025/2/10 10:42,0,2.027,2.028,2.027,5699,1155599,2.0287
2025/2/10 10:43,0,2.027,2.028,2.027,789,159952,2.0287
2025/2/10 10:44,0,2.028,2.028,2.027,1503,304759,2.0287
2025/2/10 10:45,0,2.028,2.028,2.027,3259,660747,2.0287
2025/2/10 10:46,0,2.027,2.028,2.027,1844,373871,2.0287
2025/2/10 10:47,0,2.028,2.028,2.027,2233,452769,2.0287
2025/2/10 10:48,0,2.028,2.028,2.027,973,197300,2.0287
2025/2/10 10:49,0,2.027,2.028,2.027,4193,850011,2.0287
2025/2/10 10:50,0,2.027,2.028,2.027,4170,845426,2.0287
2025/2/10 10:51,0,2.028,2.028,2.027,631,127948,2.0287
2025/2/10 10:52,0,2.027,2.028,2.027,2749,557320,2.0286
2025/2/10 10:53,0,2.028,2.028,2.027,1011,204944,2.0286
2025/2/10 10:54,0,2.028,2.028,2.027,2367,479807,2.0286
2025/2/10 10:55,0,2.027,2.028,2.027,2046,414903,2.0286
2025/2/10 10:56,0,2.028,2.028,2.027,2620,531134,2.0286
2025/2/10 10:57,0,2.027,2.028,2.027,1977,400905,2.0286
2025/2/10 10:58,0,2.028,2.028,2.027,1230,249388,2.0286
2025/2/10 10:59,0,2.028,2.028,2.027,917,185897,2.0286
2025/2/10 11:00,0,2.028,2.028,2.027,241,48860,2.0286
2025/2/10 11:01,0,2.028,2.028,2.027,1928,390833,2.0286
