day,open,high,low,close,volume
2025/1/27 13:53,27.77,27.77,27.75,27.76,104800
2025/1/27 13:54,27.76,27.76,27.73,27.74,105300
2025/1/27 13:55,27.73,27.75,27.73,27.74,64300
2025/1/27 13:56,27.73,27.75,27.73,27.75,67400
2025/1/27 13:57,27.75,27.75,27.74,27.75,44200
2025/1/27 13:58,27.75,27.76,27.74,27.74,104200
2025/1/27 13:59,27.74,27.75,27.72,27.73,127300
2025/1/27 14:00,27.73,27.73,27.71,27.72,81800
2025/1/27 14:01,27.72,27.74,27.71,27.74,64100
2025/1/27 14:02,27.74,27.76,27.73,27.75,154600
2025/1/27 14:03,27.74,27.76,27.73,27.75,158200
2025/1/27 14:04,27.75,27.78,27.74,27.76,153000
2025/1/27 14:05,27.76,27.77,27.74,27.77,160500
2025/1/27 14:06,27.77,27.77,27.74,27.77,150600
2025/1/27 14:07,27.77,27.8,27.77,27.8,121700
2025/1/27 14:08,27.79,27.8,27.77,27.8,102400
2025/1/27 14:09,27.79,27.8,27.77,27.8,146300
2025/1/27 14:10,27.81,27.83,27.8,27.82,122100
2025/1/27 14:11,27.81,27.82,27.78,27.81,132400
2025/1/27 14:12,27.8,27.81,27.78,27.81,109800
2025/1/27 14:13,27.8,27.84,27.78,27.83,149100
2025/1/27 14:14,27.84,27.84,27.8,27.84,220000
2025/1/27 14:15,27.84,27.9,27.82,27.89,253100
2025/1/27 14:16,27.89,27.95,27.88,27.94,264800
2025/1/27 14:17,27.94,27.97,27.93,27.95,242200
2025/1/27 14:18,27.94,27.96,27.93,27.95,95500
2025/1/27 14:19,27.95,27.96,27.93,27.95,139000
2025/1/27 14:20,27.94,27.95,27.92,27.95,117800
2025/1/27 14:21,27.94,27.94,27.9,27.93,118400
2025/1/27 14:22,27.93,27.95,27.92,27.94,116700
2025/1/27 14:23,27.93,27.94,27.92,27.94,79300
2025/1/27 14:24,27.93,27.99,27.93,27.98,319000
2025/1/27 14:25,27.97,27.98,27.95,27.96,121400
2025/1/27 14:26,27.96,28.02,27.96,28.02,613600
2025/1/27 14:27,28.01,28.05,27.98,28.01,437500
2025/1/27 14:28,27.98,28.02,27.97,28.02,147800
2025/1/27 14:29,28.01,28.02,27.99,28.02,163200
2025/1/27 14:30,28.01,28.01,27.97,28.01,153900
2025/1/27 14:31,28.01,28.01,27.93,28.01,313200
2025/1/27 14:32,28.01,28.04,28,28.03,308000
2025/1/27 14:33,28.03,28.04,28.01,28.03,140400
2025/1/27 14:34,28.02,28.02,28,28.02,222500
2025/1/27 14:35,28.02,28.03,28.01,28.02,188200
2025/1/27 14:36,28.02,28.03,28.01,28.02,175700
2025/1/27 14:37,28.02,28.04,28,28.02,309900
2025/1/27 14:38,28.02,28.04,28.01,28.02,299200
2025/1/27 14:39,28.02,28.03,27.97,28.01,310800
2025/1/27 14:40,28.01,28.04,28,28.03,271600
