时间,开盘,收盘,最高,最低,成交量,成交额,均价
2025-02-10 09:30:00,0.0,27.32,27.32,27.32,1895,5177140.0,27.32
2025-02-10 09:31:00,0.0,27.16,27.35,27.15,10079,27480222.0,27.274
2025-02-10 09:32:00,0.0,27.12,27.2,27.09,5045,13696489.0,27.237
2025-02-10 09:33:00,0.0,27.13,27.16,27.07,5352,14513999.0,27.208
2025-02-10 09:34:00,0.0,27.1,27.13,27.09,6398,17336677.0,27.184
2025-02-10 09:35:00,0.0,27.08,27.1,27.08,6685,18107883.0,27.166
2025-02-10 09:36:00,0.0,27.08,27.1,27.06,6032,16333741.0,27.153
2025-02-10 09:37:00,0.0,27.1,27.1,27.08,4343,11765578.0,27.147
2025-02-10 09:38:00,0.0,27.06,27.1,27.05,6457,17482495.0,27.138
2025-02-10 09:39:00,0.0,27.0,27.07,27.0,13529,36578458.0,27.117
2025-02-10 09:40:00,0.0,26.91,27.0,26.91,13700,36921647.0,27.089
2025-02-10 09:41:00,0.0,26.88,26.91,26.86,13343,35875801.0,27.06
2025-02-10 09:42:00,0.0,26.9,26.9,26.87,7493,20144548.0,27.047
2025-02-10 09:43:00,0.0,26.9,26.92,26.88,9709,26111613.0,27.033
2025-02-10 09:44:00,0.0,26.88,26.9,26.87,6997,18810283.0,27.024
2025-02-10 09:45:00,0.0,26.86,26.87,26.85,11991,32211238.0,27.009
2025-02-10 09:46:00,0.0,26.87,26.87,26.85,6093,16368597.0,27.003
2025-02-10 09:47:00,0.0,26.93,26.93,26.86,5049,13574291.0,26.998
2025-02-10 09:48:00,0.0,26.91,26.92,26.9,2989,8043965.0,26.997
2025-02-10 09:49:00,0.0,26.89,26.92,26.89,5691,15309919.0,26.993
2025-02-10 09:50:00,0.0,26.91,26.91,26.89,2421,6512185.0,26.992
2025-02-10 09:51:00,0.0,26.89,26.91,26.88,4249,11427303.0,26.989
2025-02-10 09:52:00,0.0,26.89,26.9,26.89,2509,6747413.0,26.987
2025-02-10 09:53:00,0.0,26.9,26.9,26.89,1962,5276803.0,26.986
2025-02-10 09:54:00,0.0,26.89,26.9,26.89,2075,5580697.0,26.985
2025-02-10 09:55:00,0.0,26.9,26.9,26.88,2499,6720538.0,26.984
2025-02-10 09:56:00,0.0,26.9,26.9,26.88,3961,10651871.0,26.981
2025-02-10 09:57:00,0.0,26.93,26.95,26.9,3754,10103950.0,26.98
2025-02-10 09:58:00,0.0,26.96,26.96,26.94,4064,10955236.0,26.979
2025-02-10 09:59:00,0.0,26.98,26.98,26.96,2501,6745367.0,26.979
2025-02-10 10:00:00,0.0,27.01,27.01,26.98,2346,6333531.0,26.98
2025-02-10 10:01:00,0.0,26.98,27.02,26.98,3367,9091658.0,26.98
2025-02-10 10:02:00,0.0,27.0,27.01,26.98,3418,9226492.0,26.98
2025-02-10 10:03:00,0.0,26.99,27.0,26.98,1505,4062328.0,26.98
2025-02-10 10:04:00,0.0,26.96,26.99,26.95,3856,10401410.0,26.98
2025-02-10 10:05:00,0.0,26.96,26.96,26.95,1845,4973611.0,26.98
2025-02-10 10:06:00,0.0,26.97,26.98,26.95,4583,12355495.0,26.979
