symbol,name,ticktime,price,volume,prev_price,kind
sh600887,伊利股份,09:25:01,27.32,189500,0.0,U
sh600887,伊利股份,09:30:05,27.33,64900,27.33,U
sh600887,伊利股份,09:30:08,27.35,46400,27.33,U
sh600887,伊利股份,09:30:11,27.33,84300,27.35,D
sh600887,伊利股份,09:30:14,27.32,49000,27.33,D
sh600887,伊利股份,09:30:17,27.32,89600,27.32,D
sh600887,伊利股份,09:30:20,27.31,73100,27.32,D
sh600887,伊利股份,09:30:23,27.3,74600,27.31,D
sh600887,伊利股份,09:30:26,27.27,91100,27.3,D
sh600887,伊利股份,09:30:29,27.24,37100,27.27,D
sh600887,伊利股份,09:30:32,27.23,54700,27.24,D
sh600887,伊利股份,09:30:35,27.22,57500,27.23,D
sh600887,伊利股份,09:30:38,27.18,27600,27.22,D
sh600887,伊利股份,09:30:41,27.15,50900,27.18,D
sh600887,伊利股份,09:30:44,27.17,11100,27.15,U
sh600887,伊利股份,09:30:47,27.18,79000,27.17,U
sh600887,伊利股份,09:30:50,27.18,38500,27.18,D
sh600887,伊利股份,09:30:56,27.19,48700,27.18,U
sh600887,伊利股份,09:30:59,27.16,20500,27.19,D
sh600887,伊利股份,09:31:02,27.19,21000,27.16,U
sh600887,伊利股份,09:31:05,27.2,17600,27.19,E
sh600887,伊利股份,09:31:08,27.19,12200,27.2,D
sh600887,伊利股份,09:31:11,27.19,19200,27.19,D
sh600887,伊利股份,09:31:17,27.2,8200,27.19,U
sh600887,伊利股份,09:31:20,27.2,11200,27.2,U
sh600887,伊利股份,09:31:23,27.2,17100,27.2,U
sh600887,伊利股份,09:31:26,27.19,19600,27.2,D
sh600887,伊利股份,09:31:29,27.18,14200,27.19,D
sh600887,伊利股份,09:31:32,27.17,27300,27.18,D
sh600887,伊利股份,09:31:35,27.15,43900,27.17,D
sh600887,伊利股份,09:31:38,27.15,53400,27.15,D
sh600887,伊利股份,09:31:41,27.12,16900,27.15,D
sh600887,伊利股份,09:31:44,27.13,33600,27.12,D
sh600887,伊利股份,09:31:47,27.13,15800,27.13,D
sh600887,伊利股份,09:31:50,27.13,8000,27.13,E
sh600887,伊利股份,09:31:53,27.12,41800,27.13,D
sh600887,伊利股份,09:31:56,27.12,40700,27.12,U
sh600887,伊利股份,09:31:59,27.12,76400,27.12,D
sh600887,伊利股份,09:32:02,27.11,19400,27.12,U
sh600887,伊利股份,09:32:05,27.08,22300,27.11,D
sh600887,伊利股份,09:32:08,27.09,20700,27.08,U
sh600887,伊利股份,09:32:11,27.07,20300,27.09,D
sh600887,伊利股份,09:32:14,27.07,40600,27.07,D
sh600887,伊利股份,09:32:20,27.1,60800,27.09,U
sh600887,伊利股份,09:32:23,27.11,72400,27.1,U
sh600887,伊利股份,09:32:26,27.13,19400,27.11,E
sh600887,伊利股份,09:32:29,27.13,11900,27.13,U
sh600887,伊利股份,09:32:32,27.12,13600,27.13,D
sh600887,伊利股份,09:32:35,27.13,18300,27.12,U
sh600887,伊利股份,09:32:38,27.13,32700,27.13,D
sh600887,伊利股份,09:32:41,27.15,31100,27.13,E
sh600887,伊利股份,09:32:44,27.16,33700,27.15,E
sh600887,伊利股份,09:32:50,27.15,60700,27.16,D
sh600887,伊利股份,09:32:53,27.15,10100,27.15,U
sh600887,伊利股份,09:32:56,27.13,15600,27.15,D
sh600887,伊利股份,09:32:59,27.13,20700,27.13,U
sh600887,伊利股份,09:33:02,27.13,29300,27.13,D
sh600887,伊利股份,09:33:05,27.1,111300,27.13,D
sh600887,伊利股份,09:33:08,27.1,21600,27.1,U
sh600887,伊利股份,09:33:11,27.09,20400,27.1,D
sh600887,伊利股份,09:33:14,27.1,8700,27.09,U
sh600887,伊利股份,09:33:17,27.1,27300,27.1,U
sh600887,伊利股份,09:33:23,27.1,8500,27.09,E
sh600887,伊利股份,09:33:29,27.1,33100,27.1,U
sh600887,伊利股份,09:33:32,27.1,15700,27.1,U
sh600887,伊利股份,09:33:35,27.1,30200,27.1,U
sh600887,伊利股份,09:33:38,27.11,54200,27.1,U
sh600887,伊利股份,09:33:44,27.09,85400,27.1,D
sh600887,伊利股份,09:33:47,27.09,25400,27.09,U
sh600887,伊利股份,09:33:50,27.09,87200,27.09,U
sh600887,伊利股份,09:33:53,27.09,17200,27.09,D
sh600887,伊利股份,09:33:56,27.09,24800,27.09,D
sh600887,伊利股份,09:33:59,27.1,27300,27.09,U
sh600887,伊利股份,09:34:02,27.09,14400,27.1,D
sh600887,伊利股份,09:34:08,27.09,12800,27.09,D
sh600887,伊利股份,09:34:11,27.09,75100,27.09,D
sh600887,伊利股份,09:34:14,27.09,69500,27.09,U
sh600887,伊利股份,09:34:17,27.09,14900,27.09,U
sh600887,伊利股份,09:34:20,27.08,25500,27.09,D
sh600887,伊利股份,09:34:23,27.09,64100,27.08,U
sh600887,伊利股份,09:34:26,27.1,14200,27.09,U
sh600887,伊利股份,09:34:29,27.09,31800,27.1,D
sh600887,伊利股份,09:34:32,27.1,9300,27.09,U
sh600887,伊利股份,09:34:35,27.09,21100,27.1,D
sh600887,伊利股份,09:34:38,27.09,13800,27.09,U
sh600887,伊利股份,09:34:41,27.09,10800,27.09,D
sh600887,伊利股份,09:34:44,27.08,22700,27.09,D
sh600887,伊利股份,09:34:47,27.09,10200,27.08,U
sh600887,伊利股份,09:34:50,27.09,8900,27.09,U
sh600887,伊利股份,09:34:53,27.09,200100,27.09,U
sh600887,伊利股份,09:34:56,27.09,33100,27.09,U
sh600887,伊利股份,09:34:59,27.08,10100,27.09,D
sh600887,伊利股份,09:35:02,27.09,28500,27.08,U
sh600887,伊利股份,09:35:05,27.09,32200,27.09,U
sh600887,伊利股份,09:35:08,27.08,35000,27.09,D
sh600887,伊利股份,09:35:11,27.08,12100,27.08,U
sh600887,伊利股份,09:35:14,27.08,23200,27.08,U
sh600887,伊利股份,09:35:17,27.07,42400,27.08,D
sh600887,伊利股份,09:35:20,27.08,44400,27.07,U
sh600887,伊利股份,09:35:23,27.1,45800,27.08,U
sh600887,伊利股份,09:35:26,27.07,38600,27.1,D
sh600887,伊利股份,09:35:29,27.08,24700,27.07,U
sh600887,伊利股份,09:35:32,27.08,33000,27.08,U
sh600887,伊利股份,09:35:35,27.08,8500,27.08,D
sh600887,伊利股份,09:35:38,27.08,66800,27.08,D
sh600887,伊利股份,09:35:41,27.08,62700,27.08,D
sh600887,伊利股份,09:35:44,27.08,37200,27.08,D
sh600887,伊利股份,09:35:47,27.08,11700,27.08,U
sh600887,伊利股份,09:35:50,27.08,27000,27.08,U
sh600887,伊利股份,09:35:53,27.08,16500,27.08,D
sh600887,伊利股份,09:35:56,27.08,8800,27.08,D
sh600887,伊利股份,09:36:02,27.08,19700,27.08,D
sh600887,伊利股份,09:36:05,27.08,71000,27.08,U
sh600887,伊利股份,09:36:08,27.1,34200,27.08,U
sh600887,伊利股份,09:36:11,27.09,13100,27.1,D
sh600887,伊利股份,09:36:14,27.09,7700,27.09,D
sh600887,伊利股份,09:36:17,27.1,15400,27.09,U
sh600887,伊利股份,09:36:23,27.1,27300,27.1,U
sh600887,伊利股份,09:36:26,27.1,20900,27.1,U
sh600887,伊利股份,09:36:29,27.1,19700,27.1,U
sh600887,伊利股份,09:36:32,27.09,41900,27.1,D
sh600887,伊利股份,09:36:35,27.1,20000,27.09,U
sh600887,伊利股份,09:36:38,27.1,20200,27.1,U
sh600887,伊利股份,09:36:41,27.1,22900,27.1,U
sh600887,伊利股份,09:36:44,27.1,15200,27.1,U
sh600887,伊利股份,09:36:47,27.1,7700,27.1,U
sh600887,伊利股份,09:36:50,27.1,19400,27.1,U
sh600887,伊利股份,09:36:53,27.09,15900,27.1,D
sh600887,伊利股份,09:36:56,27.09,28700,27.09,D
sh600887,伊利股份,09:37:02,27.1,18100,27.1,U
sh600887,伊利股份,09:37:05,27.09,18700,27.1,D
sh600887,伊利股份,09:37:08,27.1,11400,27.09,E
sh600887,伊利股份,09:37:11,27.09,17500,27.1,D
sh600887,伊利股份,09:37:14,27.09,13000,27.09,D
sh600887,伊利股份,09:37:17,27.09,41900,27.09,D
sh600887,伊利股份,09:37:20,27.1,34500,27.09,U
sh600887,伊利股份,09:37:23,27.1,9700,27.1,U
sh600887,伊利股份,09:37:26,27.07,216200,27.1,D
sh600887,伊利股份,09:37:29,27.06,82400,27.07,D
sh600887,伊利股份,09:37:32,27.06,49500,27.06,U
sh600887,伊利股份,09:37:35,27.06,18600,27.06,U
sh600887,伊利股份,09:37:38,27.06,10000,27.06,U
sh600887,伊利股份,09:37:41,27.06,38300,27.06,U
sh600887,伊利股份,09:37:44,27.06,16000,27.06,U
sh600887,伊利股份,09:37:50,27.06,10200,27.06,U
sh600887,伊利股份,09:37:53,27.05,10700,27.06,D
sh600887,伊利股份,09:37:56,27.06,13300,27.05,D
sh600887,伊利股份,09:37:59,27.06,8900,27.06,D
sh600887,伊利股份,09:38:02,27.06,17100,27.06,D
sh600887,伊利股份,09:38:05,27.06,24800,27.06,D
sh600887,伊利股份,09:38:08,27.05,12300,27.06,D
sh600887,伊利股份,09:38:11,27.07,81100,27.05,U
sh600887,伊利股份,09:38:14,27.05,238700,27.07,D
sh600887,伊利股份,09:38:17,27.05,76100,27.05,D
